,year,file_year_counts,file_cdf_counts,patent_year_counts,patent_cdf_counts
0,1975,1,1,0,0
1,1976,0,1,0,0
2,1977,3,4,0,0
3,1978,0,4,2,2
4,1979,0,4,0,2
5,1980,0,4,2,4
6,1981,0,4,0,4
7,1982,0,4,0,4
8,1983,2,6,0,4
9,1984,5,11,1,5
10,1985,4,15,3,8
11,1986,4,19,2,10
12,1987,2,21,4,14
13,1988,10,31,2,16
14,1989,7,38,5,21
15,1990,4,42,5,26
16,1991,6,48,9,35
17,1992,8,56,6,41
18,1993,22,78,7,48
19,1994,17,95,11,59
20,1995,41,136,16,75
21,1996,42,178,19,94
22,1997,41,219,29,123
23,1998,54,273,30,153
24,1999,66,339,39,192
25,2000,88,427,37,229
26,2001,93,520,69,298
27,2002,95,615,70,368
28,2003,104,719,60,428
29,2004,106,825,41,469
30,2005,124,949,59,528
31,2006,126,1075,74,602
32,2007,161,1236,55,657
33,2008,154,1390,43,700
34,2009,200,1590,79,779
35,2010,210,1800,128,907
36,2011,243,2043,157,1064
37,2012,252,2295,203,1267
38,2013,263,2558,288,1555
39,2014,281,2839,313,1868
40,2015,291,3130,293,2161
41,2016,310,3440,308,2469
42,2017,241,3681,300,2769
43,2018,236,3917,259,3028
44,2019,143,4060,332,3360
45,2020,66,4126,290,3650
