,gpsLat,gpsLong,file_year,patent_year
0,39.951007950000005,116.31888199561402,2015,2018
1,37.38266525,-121.92966247432815,2015,2018
2,,,2014,2018
3,,,2017,2018
4,,,2016,2018
5,,,2014,2018
6,,,2016,2018
7,41.402984,2.1196052,2016,2018
8,,,2007,2018
9,,,2016,2018
10,,,2013,2018
11,-32.896673050000004,151.70675374482357,2017,2018
12,,,2014,2018
13,,,2012,2018
14,42.3582393,-71.09663495185691,2011,2018
15,,,2015,2018
16,,,2017,2018
17,,,2015,2018
18,,,2014,2018
19,36.04373,-79.401666,2008,2018
20,,,2016,2018
21,38.895847950000004,-77.03654431512868,2016,2018
22,,,2013,2018
23,,,2014,2018
24,,,2016,2018
25,,,2016,2018
26,,,2015,2018
27,,,2013,2018
28,,,2017,2018
29,,,2017,2018
30,,,2015,2018
31,35.7355383,139.6384275,2010,2018
32,,,2014,2018
33,,,2015,2018
34,,,2017,2018
35,,,2013,2018
36,,,2015,2018
37,,,2013,2018
38,,,2015,2018
39,,,2016,2018
40,,,2012,2018
41,,,2013,2018
42,,,2016,2018
43,,,2016,2018
44,,,2015,2018
45,42.3582393,-71.09663495185691,2015,2018
46,40.6055493,-91.3845766,2016,2018
47,,,2014,2018
48,,,2014,2018
49,,,2016,2018
50,,,2016,2018
51,,,2014,2018
52,41.07573825,-81.51145320375983,2013,2018
53,,,2015,2018
54,,,2016,2018
55,,,2016,2018
56,,,2016,2018
57,33.4101398,-81.8926142,2014,2018
58,,,2015,2018
59,48.11920765,-1.696073977992143,2012,2018
60,,,2017,2018
61,,,2013,2018
62,,,2017,2018
63,,,2015,2018
64,,,2016,2018
65,42.40649125,-71.11800725402092,2013,2018
66,,,2013,2018
67,41.2664307,-85.84022142296082,2013,2018
68,,,2013,2018
69,,,2014,2018
70,37.6535403,-122.4168664,2012,2018
71,,,2016,2018
72,,,2014,2018
73,,,2013,2018
74,,,2011,2018
75,,,2012,2018
76,,,2015,2018
77,37.38266525,-121.92966247432815,2016,2018
78,41.2664307,-85.84022142296082,2015,2018
79,,,2013,2018
80,,,2016,2018
81,,,2012,2018
82,,,2015,2018
83,,,2016,2018
84,,,2016,2018
85,36.14380105,-86.80281889095295,2016,2018
86,32.443117650000005,-81.77150420329532,2013,2018
87,,,2015,2018
88,,,2015,2018
89,42.450550699999994,-76.47835129554275,2012,2018
90,26.2701194,-81.79169993265114,2013,2018
91,,,2016,2018
92,37.38266525,-121.92966247432815,2015,2018
93,37.38266525,-121.92966247432815,2017,2018
94,,,2016,2018
95,,,2016,2018
96,,,2014,2018
97,41.6582432,-83.61478734161769,2016,2018
98,41.6582432,-83.61478734161769,2016,2018
99,,,2012,2018
100,,,2017,2018
101,40.7421254,-74.17903159685589,2016,2018
102,,,2014,2018
103,,,2016,2018
104,,,2014,2018
105,,,2014,2018
106,,,2016,2018
107,40.5860647,-74.6318976,2014,2018
108,,,2017,2018
109,43.014042200000006,-83.71399843350707,2014,2018
110,,,2014,2018
111,,,2013,2018
112,,,2017,2018
113,,,2012,2018
114,33.8575496,-109.9753782,2017,2018
115,37.6535403,-122.4168664,2014,2018
116,,,2017,2018
117,,,2015,2018
118,,,2014,2018
119,,,2012,2018
120,,,2015,2018
121,,,2010,2018
122,,,2013,2018
123,,,2017,2018
124,,,2017,2018
125,,,2016,2018
126,,,2014,2018
127,,,2014,2018
128,,,2017,2018
129,,,2013,2018
130,,,2015,2018
131,40.444189699999995,-79.94271918393466,2016,2018
132,42.3582393,-71.09663495185691,2013,2018
133,42.3582393,-71.09663495185691,2015,2018
134,,,2015,2018
135,,,2014,2018
136,,,2015,2018
137,,,2017,2018
138,,,2013,2018
139,,,2017,2018
140,37.38266525,-121.92966247432815,2015,2018
141,1.2962018,103.77689943784759,2014,2018
142,,,2016,2018
143,,,2016,2018
144,,,2015,2018
145,,,2014,2018
146,,,2015,2018
147,,,2015,2018
148,,,2014,2018
149,,,2016,2018
150,37.38266525,-121.92966247432815,2014,2018
151,,,2012,2018
152,,,2016,2018
153,,,2013,2018
154,,,2016,2018
155,,,2018,2018
156,,,2015,2018
157,,,2009,2018
158,,,2015,2018
159,,,2013,2018
160,,,2013,2018
161,,,2015,2018
162,,,2017,2018
163,,,2015,2018
164,,,2013,2018
165,,,2017,2018
166,,,2016,2018
167,,,2014,2018
168,,,2016,2018
169,,,2015,2018
170,38.895847950000004,-77.03654431512868,2016,2018
171,40.84431,-81.375651,2016,2018
172,40.84431,-81.375651,2016,2018
173,,,2017,2018
174,,,2016,2018
175,,,2016,2018
176,,,2017,2018
177,,,2012,2018
178,46.0442026,6.3067338,2010,2018
179,,,2018,2018
180,,,2015,2018
181,,,2014,2018
182,,,2016,2018
183,,,2013,2018
184,,,2016,2018
185,36.77950495,-76.09297200361628,2017,2018
186,,,2014,2018
187,,,2015,2018
188,,,2016,2018
189,41.2381017,-85.8530544,2017,2018
190,,,2016,2018
191,,,2014,2018
192,,,2016,2018
193,38.6352837,-90.2316773318154,2016,2018
194,,,2016,2018
195,44.83098,-0.5700867,2015,2018
196,,,2017,2018
197,,,2017,2018
198,,,2014,2018
199,,,2016,2018
200,,,2017,2018
201,48.9524356,24.7594178,2015,2018
202,,,2014,2018
203,,,2017,2018
204,29.825009,-95.478675,2014,2018
205,,,2013,2018
206,36.14380105,-86.80281889095295,2017,2018
207,37.38266525,-121.92966247432815,2017,2018
208,29.825009,-95.478675,2016,2018
209,,,2015,2018
210,,,2014,2018
211,,,2014,2018
212,34.0825447,-79.3716287,2014,2018
213,,,2015,2018
214,,,2017,2018
215,,,2014,2018
216,,,2017,2018
217,37.38266525,-121.92966247432815,2017,2018
218,,,2018,2018
219,,,2016,2018
220,,,2015,2018
221,,,2015,2018
222,,,2015,2018
223,,,2015,2018
224,,,2017,2018
225,,,2014,2018
226,41.2664307,-85.84022142296082,2017,2018
227,37.38266525,-121.92966247432815,2016,2018
228,,,2015,2018
229,,,2015,2018
230,,,2015,2018
231,,,2016,2018
232,36.77950495,-76.09297200361628,2014,2018
233,33.9054794,-79.0269617,2014,2018
234,,,2015,2018
235,,,2016,2018
236,,,2016,2018
237,,,2016,2018
238,,,2016,2018
239,,,2015,2018
240,,,2016,2018
241,,,2016,2018
242,,,2016,2018
243,,,2013,2018
244,40.444189699999995,-79.94271918393466,2014,2018
245,43.1748192,-86.2849762,2017,2018
246,,,2016,2018
247,38.130839,-78.901363,2018,2018
248,,,2014,2018
249,37.38266525,-121.92966247432815,2017,2018
250,,,2017,2018
251,,,2018,2018
252,,,2016,2018
253,,,2015,2018
254,,,2015,2019
255,37.3512586,-121.9337106,2015,2019
256,,,2014,2019
257,,,2014,2019
258,,,2018,2019
259,,,2017,2019
260,,,2015,2019
261,,,2016,2019
262,,,2012,2019
263,,,2016,2019
264,41.2664307,-85.84022142296082,2014,2019
265,38.9034613,-77.0693577,2014,2019
266,,,2012,2019
267,32.443117650000005,-81.77150420329532,2016,2019
268,,,2016,2019
269,,,2017,2019
270,,,2014,2019
271,,,2016,2019
272,,,2014,2019
273,,,2016,2019
274,,,2016,2019
275,42.2538509,-72.3596157,2016,2019
276,,,2014,2019
277,,,2014,2019
278,,,2016,2019
279,,,2017,2019
280,,,2015,2019
281,,,2018,2019
282,,,2012,2019
283,,,2014,2019
284,,,2015,2019
285,,,2015,2019
286,41.2664307,-85.84022142296082,2015,2019
287,,,2014,2019
288,,,2014,2019
289,,,2016,2019
290,,,2017,2019
291,,,2015,2019
292,41.8041978,-88.2746437,2016,2019
293,,,2014,2019
294,33.2098879,-97.15147474975808,2016,2019
295,34.0218833,-118.28586726915088,2014,2019
296,,,2017,2019
297,,,2013,2019
298,,,2014,2019
299,,,2015,2019
300,,,2015,2019
301,52.012183,4.7012282,2017,2019
302,,,2011,2019
303,,,2016,2019
304,,,2017,2019
305,,,2014,2019
306,,,2015,2019
307,,,2017,2019
308,,,2016,2019
309,,,2017,2019
310,37.6535403,-122.4168664,2014,2019
311,,,2015,2019
312,,,2015,2019
313,,,2016,2019
314,,,2015,2019
315,37.38266525,-121.92966247432815,2016,2019
316,41.82686925,-71.40124506686722,2014,2019
317,,,2015,2019
318,,,2014,2019
319,,,2015,2019
320,,,2017,2019
321,,,2014,2019
322,,,2015,2019
323,,,2007,2019
324,,,2014,2019
325,35.655730250000005,-97.47032859449375,2017,2019
326,41.07573825,-81.51145320375983,2015,2019
327,,,2015,2019
328,,,2014,2019
329,,,2018,2019
330,,,2014,2019
331,,,2016,2019
332,,,2018,2019
333,,,2014,2019
334,,,2016,2019
335,38.9034613,-77.0693577,2015,2019
336,,,2017,2019
337,40.5860647,-74.6318976,2010,2019
338,37.38266525,-121.92966247432815,2015,2019
