,year,chemical etching,photochemical blanking,electroforming stamping,plasma etching,ultrasonic machining,water jet cutting,electrical discharge machining,electron beam machining,3D printing,bioprinting,replica molding,biofabrication,freeze casting,microfabrication,electrospinning,allograft
0,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
12,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
13,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
14,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
15,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
16,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
17,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
18,1994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
19,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
20,1996,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
21,1997,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21
22,1998,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31
23,1999,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,48
24,2000,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,72
25,2001,3,0,0,0,0,0,2,0,0,0,0,0,0,1,1,98
26,2002,5,0,0,1,0,0,9,0,0,0,0,0,0,2,1,124
27,2003,7,0,0,1,0,1,13,1,0,0,0,0,0,2,1,153
28,2004,8,0,0,1,0,1,17,1,0,0,0,0,0,2,2,176
29,2005,8,0,0,2,0,1,20,1,0,0,0,0,0,2,2,208
30,2006,10,0,0,2,0,4,25,1,0,0,0,0,0,2,3,256
31,2007,12,0,0,4,0,4,26,1,0,0,0,0,0,2,3,286
32,2008,12,0,0,4,0,4,26,1,0,0,0,0,0,3,3,307
33,2009,17,0,0,6,0,5,26,1,0,0,0,0,0,7,6,359
34,2010,25,0,0,9,0,6,26,1,0,0,1,0,0,9,9,441
35,2011,41,0,0,9,0,6,26,1,0,0,1,1,0,14,14,519
36,2012,60,0,0,13,2,6,28,1,0,1,2,3,0,16,18,626
37,2013,93,0,0,34,6,7,31,1,0,2,3,5,0,23,32,781
38,2014,116,0,0,47,12,7,35,1,0,5,4,8,0,27,55,950
39,2015,138,0,0,54,13,7,42,1,0,9,5,9,1,32,71,1116
40,2016,151,0,0,65,13,8,42,1,0,15,5,10,1,39,100,1303
41,2017,165,0,0,72,13,9,48,1,0,19,6,17,1,46,129,1470
42,2018,178,1,0,77,14,10,52,2,0,28,7,29,2,59,167,1600
43,2019,187,1,0,86,14,10,57,2,0,39,9,46,2,70,212,1779
44,2020,209,2,0,92,15,11,61,3,0,57,10,65,3,79,246,1944
45,2021,220,2,0,99,15,12,64,3,0,83,12,94,3,92,284,2096
