,year,bone morphogenic protein,transforming growth factor,prostaglandin,glucocorticoids,interleukin,insulin,interleukin-1,bmp peptides
0,1976,0,0,0,0,0,0,0,0
1,1977,0,0,0,0,0,0,0,0
2,1978,0,0,0,0,0,0,0,0
3,1979,0,0,0,0,0,0,0,0
4,1980,0,0,0,0,0,0,0,0
5,1981,0,0,0,0,0,0,0,0
6,1982,0,0,0,0,0,0,0,0
7,1983,0,0,0,0,0,0,0,0
8,1984,0,0,0,0,0,0,0,0
9,1985,0,0,0,0,0,0,0,0
10,1986,0,0,0,0,0,0,0,0
11,1987,0,0,1,0,1,1,1,0
12,1988,0,0,1,0,1,1,1,0
13,1989,1,0,2,0,1,1,1,0
14,1990,2,1,2,0,1,1,1,0
15,1991,3,1,2,0,1,1,1,0
16,1992,4,3,3,0,2,3,2,0
17,1993,7,5,3,0,3,5,2,0
18,1994,12,7,3,0,5,7,3,0
19,1995,17,15,6,0,7,14,4,0
20,1996,20,20,6,0,10,16,5,0
21,1997,28,25,10,1,10,20,5,0
22,1998,35,32,19,4,19,39,7,0
23,1999,54,48,28,6,25,54,9,0
24,2000,72,63,32,8,30,65,11,0
25,2001,98,86,43,12,39,90,14,0
26,2002,126,111,51,15,46,113,16,0
27,2003,154,127,61,16,54,130,19,0
28,2004,174,139,65,18,69,148,28,0
29,2005,203,162,70,22,81,170,33,0
30,2006,240,200,83,26,105,215,43,0
31,2007,276,230,95,28,121,241,47,0
32,2008,291,245,98,30,136,260,51,0
33,2009,329,283,104,33,157,288,54,1
34,2010,386,325,119,34,179,331,59,2
35,2011,446,394,140,40,220,393,70,2
36,2012,543,476,167,55,267,476,89,2
37,2013,659,582,218,70,334,604,108,2
38,2014,791,700,267,95,397,726,133,2
39,2015,914,812,318,115,464,854,166,2
40,2016,1037,916,380,138,542,979,199,2
41,2017,1150,1031,427,153,618,1113,224,3
42,2018,1237,1113,470,163,688,1202,253,4
43,2019,1330,1239,514,183,787,1360,296,4
44,2020,1398,1326,567,204,897,1500,343,5
45,2021,1468,1441,620,224,1003,1684,391,6
