,year,titanium,nickel titanium alloy,copper,aluminum,nickel,polycaprolactone,alginate,chitosan,hydroxyapatite
0,1976,4,0,2,2,2,0,1,0,0
1,1977,7,0,3,4,2,0,1,0,0
2,1978,7,0,3,4,2,0,2,0,0
3,1979,7,0,3,4,2,0,2,0,0
4,1980,10,0,3,5,2,0,2,0,0
5,1981,13,0,4,7,2,0,2,0,0
6,1982,13,0,4,7,2,0,2,1,0
7,1983,14,0,4,7,3,0,2,1,0
8,1984,18,0,5,11,4,0,2,2,1
9,1985,21,0,5,12,4,0,2,2,1
10,1986,27,0,5,13,5,0,2,2,3
11,1987,31,0,5,14,5,0,2,2,6
12,1988,35,0,5,15,6,0,3,2,8
13,1989,41,0,5,16,6,0,3,2,12
14,1990,49,0,5,20,6,1,4,2,15
15,1991,67,0,5,25,8,1,5,2,21
16,1992,84,1,6,28,11,1,7,4,29
17,1993,101,1,7,31,11,1,9,4,38
18,1994,119,1,8,35,12,1,10,4,52
19,1995,141,1,9,37,13,2,14,6,64
20,1996,163,1,9,42,15,3,18,7,76
21,1997,197,1,11,50,20,13,24,9,102
22,1998,240,2,15,59,24,18,29,13,138
23,1999,296,3,17,69,27,25,38,17,170
24,2000,353,3,21,88,35,32,52,19,208
25,2001,435,3,27,118,47,43,70,27,257
26,2002,506,4,42,145,64,60,89,36,310
27,2003,583,5,55,181,76,68,107,48,359
28,2004,630,5,72,205,87,73,122,59,397
29,2005,685,5,76,223,94,81,149,75,441
30,2006,772,6,90,264,105,93,177,94,508
31,2007,831,8,103,287,116,99,192,110,556
32,2008,869,10,111,306,129,103,211,121,596
33,2009,953,16,133,349,152,118,233,140,661
34,2010,1079,25,152,411,198,148,265,169,771
35,2011,1243,41,189,470,247,184,312,211,887
36,2012,1467,54,224,554,310,235,355,267,1048
37,2013,1764,63,285,657,371,307,443,352,1271
38,2014,2051,70,358,792,448,409,548,458,1514
39,2015,2322,78,424,921,504,481,637,547,1763
40,2016,2612,87,484,1044,570,566,740,655,1996
41,2017,2912,94,559,1162,646,661,866,765,2212
42,2018,3158,95,628,1279,708,737,983,859,2394
43,2019,3473,101,726,1427,779,835,1129,1003,2619
44,2020,3772,106,837,1596,850,924,1268,1119,2818
45,2021,4044,110,937,1770,925,1024,1427,1254,3011
