,year,macro,micro,nano,unit cell
0,1976,1,7,0,0
1,1977,2,9,0,0
2,1978,2,12,0,0
3,1979,2,13,0,0
4,1980,2,18,0,0
5,1981,2,23,0,0
6,1982,3,24,0,0
7,1983,3,24,0,0
8,1984,5,30,0,0
9,1985,5,33,0,0
10,1986,5,38,0,0
11,1987,7,42,1,0
12,1988,7,44,1,0
13,1989,9,53,2,0
14,1990,10,60,3,0
15,1991,12,73,5,0
16,1992,18,87,7,0
17,1993,21,104,7,1
18,1994,27,127,9,1
19,1995,33,150,11,1
20,1996,41,173,12,1
21,1997,57,211,16,1
22,1998,80,268,22,1
23,1999,104,325,32,1
24,2000,135,389,39,1
25,2001,184,489,54,2
26,2002,234,584,73,2
27,2003,271,677,92,3
28,2004,297,745,110,3
29,2005,335,824,129,4
30,2006,386,935,166,4
31,2007,426,1014,195,6
32,2008,462,1089,217,8
33,2009,515,1192,255,13
34,2010,595,1378,322,17
35,2011,701,1596,401,19
36,2012,833,1863,506,20
37,2013,1015,2209,645,22
38,2014,1228,2617,841,28
39,2015,1417,3005,1025,36
40,2016,1629,3403,1223,41
41,2017,1825,3822,1450,47
42,2018,1999,4199,1632,52
43,2019,2238,4718,1916,55
44,2020,2501,5262,2165,61
45,2021,2798,5863,2490,73
