,year,in vitro,in vivo,in silico,animal study,clinical trial,cell model,animal model,large animal 
0,1976,0,0,0,0,0,0,0,0
1,1977,0,0,0,0,0,0,0,0
2,1978,0,0,0,0,0,0,0,0
3,1979,0,0,0,0,0,0,0,0
4,1980,0,0,0,0,0,0,0,0
5,1981,0,0,0,0,0,0,0,0
6,1982,0,0,0,0,0,0,0,0
7,1983,0,0,0,0,0,0,0,0
8,1984,1,1,0,0,1,0,0,0
9,1985,1,1,0,0,1,0,0,0
10,1986,2,3,1,0,1,0,1,0
11,1987,3,5,2,0,1,0,1,0
12,1988,3,5,2,0,1,0,1,1
13,1989,5,9,2,0,1,0,1,1
14,1990,8,13,2,0,3,0,1,1
15,1991,12,16,3,0,4,0,1,1
16,1992,18,21,3,0,7,0,4,1
17,1993,22,29,3,0,7,0,7,1
18,1994,26,41,3,1,7,0,9,1
19,1995,35,54,3,1,8,0,14,1
20,1996,42,62,3,2,10,1,17,1
21,1997,64,86,3,2,11,1,20,1
22,1998,85,111,3,3,21,1,33,2
23,1999,116,137,3,5,25,1,42,4
24,2000,145,172,3,7,28,1,51,6
25,2001,185,226,3,8,32,1,68,8
26,2002,232,277,4,8,37,1,80,9
27,2003,276,325,5,10,40,1,88,10
28,2004,307,362,5,10,46,1,99,10
29,2005,356,416,6,13,50,1,110,12
30,2006,410,475,6,14,58,1,133,16
31,2007,440,523,7,15,63,2,145,16
32,2008,476,560,8,16,67,3,155,17
33,2009,530,626,9,18,73,3,170,18
34,2010,595,721,16,21,86,3,197,18
35,2011,691,833,22,27,102,3,227,20
36,2012,798,979,27,32,140,4,255,20
37,2013,964,1174,62,43,189,15,288,23
38,2014,1163,1418,93,52,237,15,351,27
39,2015,1346,1635,113,65,281,18,397,29
40,2016,1527,1868,124,72,319,19,457,31
41,2017,1713,2090,136,84,356,23,519,37
42,2018,1881,2278,139,89,400,27,577,44
43,2019,2142,2556,149,96,448,32,668,49
44,2020,2421,2853,169,106,497,37,750,59
45,2021,2724,3173,199,113,577,44,852,68
