,year,regenerative medicine,tissue engineering,bone,scaffold,orthodontic,biocompatible,biodegradable,tissue scaffold,scaffold guided,bone graft
0,1976,0.0,0.0,0.6470588235294118,0.0,0.058823529411764705,0.0,0.17647058823529413,0.0,0.0,0.11764705882352941
1,1977,0.0,0.0,0.5555555555555556,0.0,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.0,0.0,0.0
2,1978,0.0,0.0,0.5,0.0,0.1,0.1,0.3,0.0,0.0,0.0
3,1979,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1980,0.0,0.0,0.5882352941176471,0.0,0.29411764705882354,0.0,0.11764705882352941,0.0,0.0,0.0
5,1981,0.0,0.0,0.6363636363636364,0.0,0.2727272727272727,0.0,0.09090909090909091,0.0,0.0,0.0
6,1982,0.0,0.0,0.6,0.0,0.2,0.2,0.0,0.0,0.0,0.0
7,1983,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
8,1984,0.0,0.0,0.5151515151515151,0.0,0.2727272727272727,0.12121212121212122,0.030303030303030304,0.0,0.0,0.06060606060606061
9,1985,0.0,0.0,0.6666666666666666,0.0,0.2,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667
10,1986,0.0,0.0,0.4,0.04,0.32,0.08,0.08,0.0,0.0,0.08
11,1987,0.0,0.0,0.5217391304347826,0.0,0.08695652173913043,0.17391304347826086,0.08695652173913043,0.0,0.0,0.13043478260869565
12,1988,0.0,0.0,0.6363636363636364,0.0,0.18181818181818182,0.13636363636363635,0.045454545454545456,0.0,0.0,0.0
13,1989,0.0,0.0,0.5581395348837209,0.0,0.16279069767441862,0.23255813953488372,0.0,0.0,0.0,0.046511627906976744
14,1990,0.0,0.0,0.6304347826086957,0.0,0.13043478260869565,0.21739130434782608,0.021739130434782608,0.0,0.0,0.0
15,1991,0.0,0.0,0.5862068965517241,0.017241379310344827,0.13793103448275862,0.13793103448275862,0.05172413793103448,0.0,0.0,0.06896551724137931
16,1992,0.0,0.0,0.5,0.038461538461538464,0.1346153846153846,0.11538461538461539,0.11538461538461539,0.0,0.0,0.09615384615384616
17,1993,0.0,0.0,0.5967741935483871,0.03225806451612903,0.08064516129032258,0.16129032258064516,0.03225806451612903,0.0,0.0,0.0967741935483871
18,1994,0.0,0.0,0.4878048780487805,0.08536585365853659,0.07317073170731707,0.17073170731707318,0.08536585365853659,0.0,0.0,0.0975609756097561
19,1995,0.0,0.0,0.4148936170212766,0.09574468085106383,0.09574468085106383,0.22340425531914893,0.07446808510638298,0.0,0.0,0.09574468085106383
20,1996,0.0,0.0,0.55,0.025,0.075,0.2125,0.05,0.0,0.0,0.0875
21,1997,0.0,0.0425531914893617,0.3829787234042553,0.0851063829787234,0.0797872340425532,0.1702127659574468,0.11702127659574468,0.0425531914893617,0.0,0.0797872340425532
22,1998,0.0,0.00966183574879227,0.46859903381642515,0.0821256038647343,0.0821256038647343,0.1642512077294686,0.09178743961352658,0.004830917874396135,0.0,0.0966183574879227
23,1999,0.0,0.023622047244094488,0.39763779527559057,0.09448818897637795,0.07086614173228346,0.15748031496062992,0.11811023622047244,0.007874015748031496,0.0,0.12992125984251968
24,2000,0.0,0.03773584905660377,0.39622641509433965,0.09433962264150944,0.06415094339622641,0.2,0.07547169811320754,0.011320754716981131,0.0,0.12075471698113208
25,2001,0.0,0.050761421319796954,0.3553299492385787,0.1065989847715736,0.06345177664974619,0.19543147208121828,0.1116751269035533,0.012690355329949238,0.0,0.10406091370558376
26,2002,0.0,0.06527415143603134,0.34986945169712796,0.10704960835509138,0.0391644908616188,0.206266318537859,0.10966057441253264,0.018276762402088774,0.0,0.10443864229765012
27,2003,0.0,0.04043126684636118,0.3719676549865229,0.0862533692722372,0.04851752021563342,0.215633423180593,0.1105121293800539,0.013477088948787063,0.0,0.11320754716981132
28,2004,0.0,0.032520325203252036,0.3861788617886179,0.13414634146341464,0.04065040650406504,0.18699186991869918,0.10975609756097561,0.0040650406504065045,0.0,0.10569105691056911
29,2005,0.0,0.06470588235294118,0.3352941176470588,0.12941176470588237,0.041176470588235294,0.16470588235294117,0.12352941176470589,0.014705882352941176,0.0,0.1264705882352941
30,2006,0.0045662100456621,0.04794520547945205,0.3584474885844749,0.1141552511415525,0.045662100456621,0.1735159817351598,0.11187214611872145,0.02054794520547945,0.0,0.1232876712328767
