,year,bone morphogenic protein,transforming growth factor,prostaglandin,glucocorticoids,interleukin,insulin,interleukin-1,bmp peptides
0,1976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1987,0.0,0.0,0.25,0.0,0.25,0.25,0.25,0.0
12,1988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1989,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
14,1990,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
15,1991,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1992,0.125,0.25,0.125,0.0,0.125,0.25,0.125,0.0
17,1993,0.375,0.25,0.0,0.0,0.125,0.25,0.0,0.0
18,1994,0.4166666666666667,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.0
19,1995,0.19230769230769232,0.3076923076923077,0.11538461538461539,0.0,0.07692307692307693,0.2692307692307692,0.038461538461538464,0.0
20,1996,0.21428571428571427,0.35714285714285715,0.0,0.0,0.21428571428571427,0.14285714285714285,0.07142857142857142,0.0
21,1997,0.36363636363636365,0.22727272727272727,0.18181818181818182,0.045454545454545456,0.0,0.18181818181818182,0.0,0.0
22,1998,0.125,0.125,0.16071428571428573,0.05357142857142857,0.16071428571428573,0.3392857142857143,0.03571428571428571,0.0
23,1999,0.2753623188405797,0.2318840579710145,0.13043478260869565,0.028985507246376812,0.08695652173913043,0.21739130434782608,0.028985507246376812,0.0
24,2000,0.3157894736842105,0.2631578947368421,0.07017543859649122,0.03508771929824561,0.08771929824561403,0.19298245614035087,0.03508771929824561,0.0
25,2001,0.25742574257425743,0.22772277227722773,0.10891089108910891,0.039603960396039604,0.0891089108910891,0.24752475247524752,0.0297029702970297,0.0
26,2002,0.2916666666666667,0.2604166666666667,0.08333333333333333,0.03125,0.07291666666666667,0.23958333333333334,0.020833333333333332,0.0
27,2003,0.3373493975903614,0.1927710843373494,0.12048192771084337,0.012048192771084338,0.0963855421686747,0.20481927710843373,0.03614457831325301,0.0
28,2004,0.25,0.15,0.05,0.025,0.1875,0.225,0.1125,0.0
29,2005,0.29,0.23,0.05,0.04,0.12,0.22,0.05,0.0
30,2006,0.21637426900584794,0.2222222222222222,0.07602339181286549,0.023391812865497075,0.14035087719298245,0.2631578947368421,0.05847953216374269,0.0
31,2007,0.2857142857142857,0.23809523809523808,0.09523809523809523,0.015873015873015872,0.12698412698412698,0.20634920634920634,0.031746031746031744,0.0
32,2008,0.2054794520547945,0.2054794520547945,0.0410958904109589,0.0273972602739726,0.2054794520547945,0.2602739726027397,0.0547945205479452,0.0
33,2009,0.2753623188405797,0.2753623188405797,0.043478260869565216,0.021739130434782608,0.15217391304347827,0.2028985507246377,0.021739130434782608,0.007246376811594203
34,2010,0.3064516129032258,0.22580645161290322,0.08064516129032258,0.005376344086021506,0.11827956989247312,0.23118279569892472,0.026881720430107527,0.005376344086021506
35,2011,0.2222222222222222,0.25555555555555554,0.07777777777777778,0.022222222222222223,0.15185185185185185,0.22962962962962963,0.040740740740740744,0.0
36,2012,0.26216216216216215,0.22162162162162163,0.07297297297297298,0.04054054054054054,0.12702702702702703,0.22432432432432434,0.051351351351351354,0.0
37,2013,0.23107569721115537,0.21115537848605578,0.10159362549800798,0.029880478087649404,0.13346613545816732,0.2549800796812749,0.037848605577689244,0.0
38,2014,0.24719101123595505,0.2209737827715356,0.09176029962546817,0.04681647940074907,0.11797752808988764,0.22846441947565543,0.04681647940074907,0.0
39,2015,0.2303370786516854,0.20973782771535582,0.09550561797752809,0.03745318352059925,0.1254681647940075,0.2397003745318352,0.06179775280898876,0.0
40,2016,0.22445255474452555,0.1897810218978102,0.11313868613138686,0.041970802919708027,0.14233576642335766,0.2281021897810219,0.060218978102189784,0.0
41,2017,0.21482889733840305,0.21863117870722434,0.08935361216730038,0.028517110266159697,0.1444866920152091,0.25475285171102663,0.04752851711026616,0.0019011406844106464
42,2018,0.2116788321167883,0.19951338199513383,0.10462287104622871,0.024330900243309004,0.170316301703163,0.21654501216545013,0.0705596107055961,0.0024330900243309003
43,2019,0.1595197255574614,0.21612349914236706,0.07547169811320754,0.03430531732418525,0.16981132075471697,0.27101200686106347,0.07375643224699828,0.0
44,2020,0.12903225806451613,0.1650853889943074,0.10056925996204934,0.03984819734345351,0.20872865275142316,0.2656546489563567,0.08918406072106262,0.0018975332068311196
45,2021,0.11725293132328309,0.19262981574539365,0.08877721943048576,0.03350083752093802,0.17755443886097153,0.3082077051926298,0.08040201005025126,0.0016750418760469012
