,year,stress,strain,thermal,piezoelectric,elastic modulus,elasticity,degradation,bioresorption 
0,1976,0.6,0.06666666666666667,0.06666666666666667,0.0,0.0,0.06666666666666667,0.2,0.0
1,1977,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0
2,1978,0.5,0.125,0.0,0.0,0.0,0.0,0.375,0.0
3,1979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1980,0.6,0.0,0.0,0.0,0.0,0.4,0.0,0.0
5,1981,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0.0
6,1982,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1983,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1984,0.5454545454545454,0.18181818181818182,0.18181818181818182,0.0,0.0,0.09090909090909091,0.0,0.0
9,1985,0.75,0.125,0.0,0.0,0.0,0.125,0.0,0.0
10,1986,0.3076923076923077,0.3076923076923077,0.15384615384615385,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.0
11,1987,0.45454545454545453,0.09090909090909091,0.09090909090909091,0.0,0.0,0.2727272727272727,0.09090909090909091,0.0
12,1988,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.14285714285714285,0.0
13,1989,0.32,0.28,0.12,0.08,0.0,0.12,0.08,0.0
14,1990,0.41935483870967744,0.22580645161290322,0.06451612903225806,0.0,0.06451612903225806,0.12903225806451613,0.0967741935483871,0.0
15,1991,0.44,0.24,0.16,0.0,0.0,0.08,0.08,0.0
16,1992,0.43333333333333335,0.2,0.16666666666666666,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.1,0.0
17,1993,0.35135135135135137,0.16216216216216217,0.16216216216216217,0.08108108108108109,0.0,0.16216216216216217,0.08108108108108109,0.0
18,1994,0.4,0.2,0.1111111111111111,0.022222222222222223,0.044444444444444446,0.06666666666666667,0.15555555555555556,0.0
19,1995,0.2916666666666667,0.22916666666666666,0.14583333333333334,0.041666666666666664,0.020833333333333332,0.041666666666666664,0.20833333333333334,0.020833333333333332
20,1996,0.3877551020408163,0.22448979591836735,0.061224489795918366,0.04081632653061224,0.02040816326530612,0.08163265306122448,0.1836734693877551,0.0
21,1997,0.34285714285714286,0.15714285714285714,0.15714285714285714,0.0,0.02857142857142857,0.04285714285714286,0.2714285714285714,0.0
