,patent_num,patent_year,file_year,chemical etching,photochemical blanking,electroforming stamping,plasma etching,ultrasonic machining,water jet cutting,electrical discharge machining,electron beam machining,3D printing,bioprinting,replica molding,biofabrication,freeze casting,microfabrication,electrospinning,allograft
0,"10,000,738",2018,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"10,001,771",2018,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"10,003,898",2018,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"10,004,542",2018,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"10,004,548",2018,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"10,004,579",2018,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"10,004,587",2018,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
7,"10,004,602",2018,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"10,004,604",2018,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"10,004,608",2018,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,"10,004,631",2018,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,"10,004,761",2018,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"10,004,767",2018,2014,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13,"10,004,806",2018,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,"10,004,826",2018,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,"10,006,705",2018,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,"10,006,924",2018,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,"10,007,988",2018,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,"10,010,266",2018,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"10,010,347",2018,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"10,010,354",2018,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,"10,010,383",2018,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
