,year,ceramic,metal,polymer,hydrogel,shape memory alloy,rubber,composite,semiconductor,fiber
0,1976,3,9,9,0,0,2,2,0,5
1,1977,1,5,1,0,0,0,1,0,1
2,1978,1,2,4,0,0,0,0,0,2
3,1979,0,1,1,0,0,0,0,0,0
4,1980,3,7,3,0,0,3,1,0,3
5,1981,3,6,3,0,0,3,1,0,2
6,1982,0,2,1,0,0,2,0,0,0
7,1983,0,2,0,0,0,3,1,0,0
8,1984,3,15,6,0,0,1,1,0,4
9,1985,1,2,0,0,0,2,0,0,1
10,1986,5,9,3,0,0,4,3,0,3
11,1987,1,6,4,1,0,2,1,0,2
12,1988,6,8,5,0,0,4,1,0,0
13,1989,7,12,7,1,0,7,3,1,6
14,1990,5,12,7,0,0,5,6,1,3
15,1991,10,22,5,0,0,5,8,0,6
16,1992,13,17,10,0,1,2,5,0,6
17,1993,11,24,12,0,0,8,11,0,6
18,1994,15,23,14,1,1,8,8,0,8
19,1995,16,23,22,1,0,7,10,0,12
20,1996,14,24,18,0,2,6,14,0,11
21,1997,29,56,37,4,1,10,22,0,24
22,1998,29,69,37,5,1,16,29,0,20
23,1999,36,66,44,12,1,13,32,1,20
24,2000,42,75,59,9,2,16,28,0,25
25,2001,59,101,83,18,5,20,41,0,52
26,2002,56,97,89,18,3,14,56,3,55
27,2003,72,103,95,12,4,18,56,2,60
28,2004,47,70,72,9,3,11,40,1,40
29,2005,49,88,79,22,0,16,47,3,52
30,2006,88,113,103,30,2,29,78,3,81
31,2007,57,86,75,20,1,24,48,2,46
32,2008,52,70,65,14,1,19,39,3,35
33,2009,82,112,111,25,6,30,64,3,69
34,2010,138,181,171,52,15,57,106,8,116
35,2011,151,230,237,62,18,66,125,12,125
36,2012,195,281,287,85,26,72,149,10,150
37,2013,268,372,387,123,13,130,246,24,245
38,2014,299,428,413,144,17,113,264,29,271
39,2015,286,386,389,125,19,117,245,18,265
40,2016,274,420,411,142,21,133,247,22,260
41,2017,266,469,424,139,25,116,248,20,285
42,2018,240,357,364,114,16,110,205,22,223
43,2019,300,492,510,171,15,136,277,37,300
44,2020,292,506,512,155,14,153,251,42,272
45,2021,287,520,559,185,21,167,311,54,329
