,year,bone morphogenic protein,transforming growth factor,prostaglandin,glucocorticoids,interleukin,insulin,interleukin-1,bmp peptides
0,1976,0,0,0,0,0,0,0,0
1,1977,0,0,0,0,0,0,0,0
2,1978,0,0,0,0,0,0,0,0
3,1979,0,0,0,0,0,0,0,0
4,1980,0,0,0,0,0,0,0,0
5,1981,0,0,0,0,0,0,0,0
6,1982,0,0,0,0,0,0,0,0
7,1983,0,0,0,0,0,0,0,0
8,1984,0,0,0,0,0,0,0,0
9,1985,0,0,0,0,0,0,0,0
10,1986,0,0,0,0,0,0,0,0
11,1987,0,0,1,0,1,1,1,0
12,1988,0,0,0,0,0,0,0,0
13,1989,1,0,1,0,0,0,0,0
14,1990,1,1,0,0,0,0,0,0
15,1991,1,0,0,0,0,0,0,0
16,1992,1,2,1,0,1,2,1,0
17,1993,3,2,0,0,1,2,0,0
18,1994,5,2,0,0,2,2,1,0
19,1995,5,8,3,0,2,7,1,0
20,1996,3,5,0,0,3,2,1,0
21,1997,8,5,4,1,0,4,0,0
22,1998,7,7,9,3,9,19,2,0
23,1999,19,16,9,2,6,15,2,0
24,2000,18,15,4,2,5,11,2,0
25,2001,26,23,11,4,9,25,3,0
26,2002,28,25,8,3,7,23,2,0
27,2003,28,16,10,1,8,17,3,0
28,2004,20,12,4,2,15,18,9,0
29,2005,29,23,5,4,12,22,5,0
30,2006,37,38,13,4,24,45,10,0
31,2007,36,30,12,2,16,26,4,0
32,2008,15,15,3,2,15,19,4,0
33,2009,38,38,6,3,21,28,3,1
34,2010,57,42,15,1,22,43,5,1
35,2011,60,69,21,6,41,62,11,0
36,2012,97,82,27,15,47,83,19,0
37,2013,116,106,51,15,67,128,19,0
38,2014,132,118,49,25,63,122,25,0
39,2015,123,112,51,20,67,128,33,0
40,2016,123,104,62,23,78,125,33,0
41,2017,113,115,47,15,76,134,25,1
42,2018,87,82,43,10,70,89,29,1
43,2019,93,126,44,20,99,158,43,0
44,2020,68,87,53,21,110,140,47,1
45,2021,70,115,53,20,106,184,48,1
