,year,titanium,nickel titanium alloy,copper,aluminum,nickel,polycaprolactone,alginate,chitosan,hydroxyapatite
0,1976,4,0,2,2,2,0,1,0,0
1,1977,3,0,1,2,0,0,0,0,0
2,1978,0,0,0,0,0,0,1,0,0
3,1979,0,0,0,0,0,0,0,0,0
4,1980,3,0,0,1,0,0,0,0,0
5,1981,3,0,1,2,0,0,0,0,0
6,1982,0,0,0,0,0,0,0,1,0
7,1983,1,0,0,0,1,0,0,0,0
8,1984,4,0,1,4,1,0,0,1,1
9,1985,3,0,0,1,0,0,0,0,0
10,1986,6,0,0,1,1,0,0,0,2
11,1987,4,0,0,1,0,0,0,0,3
12,1988,4,0,0,1,1,0,1,0,2
13,1989,6,0,0,1,0,0,0,0,4
14,1990,8,0,0,4,0,1,1,0,3
15,1991,18,0,0,5,2,0,1,0,6
16,1992,17,1,1,3,3,0,2,2,8
17,1993,17,0,1,3,0,0,2,0,9
18,1994,18,0,1,4,1,0,1,0,14
19,1995,22,0,1,2,1,1,4,2,12
20,1996,22,0,0,5,2,1,4,1,12
21,1997,34,0,2,8,5,10,6,2,26
22,1998,43,1,4,9,4,5,5,4,36
23,1999,56,1,2,10,3,7,9,4,32
24,2000,57,0,4,19,8,7,14,2,38
25,2001,82,0,6,30,12,11,18,8,49
26,2002,71,1,15,27,17,17,19,9,53
27,2003,77,1,13,36,12,8,18,12,49
28,2004,47,0,17,24,11,5,15,11,38
29,2005,55,0,4,18,7,8,27,16,44
30,2006,87,1,14,41,11,12,28,19,67
31,2007,59,2,13,23,11,6,15,16,48
32,2008,38,2,8,19,13,4,19,11,40
33,2009,84,6,22,43,23,15,22,19,65
34,2010,126,9,19,62,46,30,32,29,110
35,2011,164,16,37,59,49,36,47,42,116
36,2012,224,13,35,84,63,51,43,56,161
37,2013,297,9,61,103,61,72,88,85,223
38,2014,287,7,73,135,77,102,105,106,243
39,2015,271,8,66,129,56,72,89,89,249
40,2016,290,9,60,123,66,85,103,108,233
41,2017,300,7,75,118,76,95,126,110,216
42,2018,246,1,69,117,62,76,117,94,182
43,2019,315,6,98,148,71,98,146,144,225
44,2020,299,5,111,169,71,89,139,116,199
45,2021,272,4,100,174,75,100,159,135,193
