,year,orthodontic bracket,tooth,implant,device,scaffold,bridge 
0,1976,0,8,9,8,0,3
1,1977,0,6,4,3,0,3
2,1978,0,4,4,4,0,0
3,1979,0,2,1,2,0,1
4,1980,1,8,6,9,0,3
5,1981,0,8,4,6,0,2
6,1982,0,1,2,3,0,1
7,1983,2,4,0,3,0,1
8,1984,0,10,9,18,0,5
9,1985,0,4,8,8,0,1
10,1986,2,12,7,12,1,1
11,1987,0,4,8,8,0,2
12,1988,0,9,9,6,0,3
13,1989,1,15,15,16,0,3
14,1990,0,9,16,22,0,7
15,1991,0,26,27,23,1,6
16,1992,1,16,20,21,2,8
17,1993,2,24,32,23,2,10
18,1994,1,28,34,29,7,11
19,1995,4,25,36,31,9,7
20,1996,2,23,38,32,2,11
21,1997,3,35,63,66,16,12
22,1998,2,46,77,76,17,17
23,1999,2,58,90,76,24,24
24,2000,3,50,89,87,25,27
25,2001,1,81,126,99,42,36
26,2002,3,48,117,100,41,26
27,2003,4,56,122,109,32,37
28,2004,3,41,84,73,33,22
29,2005,5,45,100,86,44,28
30,2006,10,71,141,129,50,33
31,2007,5,49,104,91,41,35
32,2008,4,46,81,79,30,16
33,2009,2,45,135,121,53,29
34,2010,4,89,210,208,90,53
35,2011,5,92,267,262,103,74
36,2012,7,141,337,330,145,93
37,2013,9,174,456,451,198,117
38,2014,3,218,511,499,229,130
39,2015,8,174,467,429,230,104
40,2016,7,166,509,503,230,130
41,2017,11,219,495,504,242,138
42,2018,13,198,431,456,190,113
43,2019,14,242,572,570,251,182
44,2020,17,267,580,593,272,180
45,2021,11,317,594,656,277,207
