,year,stress,strain,thermal,piezoelectric,elastic modulus,elasticity,degradation,bioresorption 
0,1976,9,1,1,0,0,1,3,0
1,1977,1,0,1,0,0,0,1,0
2,1978,4,1,0,0,0,0,3,0
3,1979,0,0,0,0,0,0,0,0
4,1980,3,0,0,0,0,2,0,0
5,1981,3,0,0,0,0,1,0,0
6,1982,1,0,0,0,0,0,0,0
7,1983,1,0,0,0,0,0,0,0
8,1984,6,2,2,0,0,1,0,0
9,1985,6,1,0,0,0,1,0,0
10,1986,4,4,2,1,0,1,1,0
11,1987,5,1,1,0,0,3,1,0
12,1988,2,2,2,0,0,0,1,0
13,1989,8,7,3,2,0,3,2,0
14,1990,13,7,2,0,2,4,3,0
15,1991,11,6,4,0,0,2,2,0
16,1992,13,6,5,1,1,1,3,0
17,1993,13,6,6,3,0,6,3,0
18,1994,18,9,5,1,2,3,7,0
19,1995,14,11,7,2,1,2,10,1
20,1996,19,11,3,2,1,4,9,0
21,1997,24,11,11,0,2,3,19,0
22,1998,37,19,15,0,5,9,26,0
23,1999,42,36,12,2,2,11,24,0
24,2000,44,34,15,1,3,14,29,1
25,2001,58,39,37,4,3,25,41,2
26,2002,54,49,37,5,4,25,46,1
27,2003,57,45,38,9,4,20,40,1
28,2004,51,40,26,4,3,12,29,0
29,2005,49,38,33,2,7,17,43,2
30,2006,65,56,41,5,7,28,42,2
31,2007,47,41,27,1,4,14,38,3
32,2008,46,38,28,5,6,15,30,3
33,2009,76,81,41,11,3,22,35,6
34,2010,116,101,65,19,12,30,64,2
35,2011,135,124,81,21,18,42,86,6
36,2012,177,150,98,22,15,71,103,9
37,2013,235,212,137,47,30,82,155,23
38,2014,268,243,179,50,39,108,181,21
39,2015,274,220,150,37,35,120,150,8
40,2016,289,235,173,37,36,133,182,3
41,2017,291,248,176,35,33,116,195,2
42,2018,239,232,133,36,43,108,162,2
43,2019,333,285,196,44,41,121,220,3
44,2020,347,311,200,23,58,142,227,4
45,2021,387,332,222,49,59,143,256,3
