,year,in vitro,in vivo,in silico,animal study,clinical trial,cell model,animal model,large animal 
0,1976,0,0,0,0,0,0,0,0
1,1977,0,0,0,0,0,0,0,0
2,1978,0,0,0,0,0,0,0,0
3,1979,0,0,0,0,0,0,0,0
4,1980,0,0,0,0,0,0,0,0
5,1981,0,0,0,0,0,0,0,0
6,1982,0,0,0,0,0,0,0,0
7,1983,0,0,0,0,0,0,0,0
8,1984,1,1,0,0,1,0,0,0
9,1985,0,0,0,0,0,0,0,0
10,1986,1,2,1,0,0,0,1,0
11,1987,1,2,1,0,0,0,0,0
12,1988,0,0,0,0,0,0,0,1
13,1989,2,4,0,0,0,0,0,0
14,1990,3,4,0,0,2,0,0,0
15,1991,4,3,1,0,1,0,0,0
16,1992,6,5,0,0,3,0,3,0
17,1993,4,8,0,0,0,0,3,0
18,1994,4,12,0,1,0,0,2,0
19,1995,9,13,0,0,1,0,5,0
20,1996,7,8,0,1,2,1,3,0
21,1997,22,24,0,0,1,0,3,0
22,1998,21,25,0,1,10,0,13,1
23,1999,31,26,0,2,4,0,9,2
24,2000,29,35,0,2,3,0,9,2
25,2001,40,54,0,1,4,0,17,2
26,2002,47,51,1,0,5,0,12,1
27,2003,44,48,1,2,3,0,8,1
28,2004,31,37,0,0,6,0,11,0
29,2005,49,54,1,3,4,0,11,2
30,2006,54,59,0,1,8,0,23,4
31,2007,30,48,1,1,5,1,12,0
32,2008,36,37,1,1,4,1,10,1
33,2009,54,66,1,2,6,0,15,1
34,2010,65,95,7,3,13,0,27,0
35,2011,96,112,6,6,16,0,30,2
36,2012,107,146,5,5,38,1,28,0
37,2013,166,195,35,11,49,11,33,3
38,2014,199,244,31,9,48,0,63,4
39,2015,183,217,20,13,44,3,46,2
40,2016,181,233,11,7,38,1,60,2
41,2017,186,222,12,12,37,4,62,6
42,2018,168,188,3,5,44,4,58,7
43,2019,261,278,10,7,48,5,91,5
44,2020,279,297,20,10,49,5,82,10
45,2021,303,320,30,7,80,7,102,9
